x;y;y_zwei
451;997501;1296751.3
452;1275500;1658150
453;1813500;2357550
454;1165700;1515410
455;1007399;1309618.7
456;1130999;1470298.7
457;1080999;1405298.7
458;1057600;1374880
459;1120101;1456131.3
460;1010700;1313910
461;1415501;1840151.3
462;1024300;1331590
463;1063900;1383070
464;1098499;1428048.7
465;1103900;1435070
466;1150000;1495000
467;1154900;1501370
468;1027001;1335101.3
469;1043700;1356810
470;1061899;1380468.7
471;1336599;1737578.7
472;1077101;1400231.3
473;1087200;1413360
474;1076699;1399708.7
475;1646000;2139800
476;1088300;1414790
477;1072900;1394770
478;1232400;1602120
479;1155601;1502281.3
480;1141700;1484210
481;1074699;1397108.7
482;1146600;1490580
483;1184900;1540370
484;2742400;3565120
485;2549901;3314871.3
486;2887200;3753360
487;2779800;3613740
488;2912600;3786380
489;3058501;3976051.3
490;2682599;3487378.7
491;2764599;3593978.7
492;2421699;3148208.7
493;2566201;3336061.3
494;1844600;2397980
495;1105799;1437538.7
496;1216100;1580930
497;1107699;1440008.7
498;1175901;1528671.3
499;1098600;1428180
500;1377100;1790230
501;1098400;1427920
502;1643999;2137198.7
503;1626900;2114970
504;1132800;1472640
505;1170701;1521911.3
506;1108500;1441050
507;1361700;1770210
508;1118200;1453660
509;1121900;1458470
510;1133600;1473680
511;1177500;1530750
512;1386000;1801800
513;1167700;1518010
514;1129199;1467958.7
515;1127400;1465620
516;1405200;1826760
517;1133201;1473161.3
518;1145700;1489410
519;1177100;1530230
520;1224201;1591461.3
521;1148899;1493568.7
522;1178101;1531531.3
523;1269900;1650870
524;1190300;1547390
525;1146700;1490710
526;1176300;1529190
527;1194099;1552328.7
528;1218701;1584311.3
529;1178500;1532050
530;1400400;1820520
531;1261500;1639950
532;1306100;1697930
533;1266100;1645930
534;1788501;2325051.3
535;1180500;1534650
536;1241200;1613560
537;1181500;1535950
538;1363500;1772550
539;1194900;1553370
540;1232799;1602638.7
541;1193200;1551160
542;1310400;1703520
543;1201400;1561820
544;1251200;1626560
545;1177200;1530360
546;1194000;1552200
547;1356500;1763450
