x;time;ram
1601000;37716200;152476056
1611000;37228100;153712184
1621000;37247500;149451040
1631000;37884400;270697728
1641000;38276400;193682896
1651000;37486700;150882584
1661000;36837700;158208464
1671000;37740400;156976632
1681000;38430500;234290888
1691000;40376300;197697968
1701000;50989600;154224568
1711000;50598500;161225200
1721000;70204600;145045864
1731000;37747000;154589032
1741000;47666800;185746096
1751000;40751400;174282112
1761000;48859100;146339720
1771000;37855200;158556752
1781000;40501900;194147272
1791000;69913000;154860792
1801000;44946500;153904328
1811000;41302400;246103544
1821000;72572000;170309736
1831000;88903300;164450704
1841000;78665200;165684568
1851000;79012600;296041336
1861000;37935500;221588328
1871000;76454400;167216992
1881000;37573000;175791616
1891000;38467800;176540360
1901000;36876400;297654656
1911000;41702400;225873224
1921000;37268200;177601480
1931000;36871800;177949808
1941000;38551400;179151272
1951000;77009100;291913608
1961000;38872900;204433064
1971000;38967600;176853080
1981000;39493500;182252808
1991000;60223700;242218184
2001000;38272900;103160144
2011000;38018700;175774552
2021000;38695400;181205368
2031000;42978500;235791384
2041000;38829400;195985472
2051000;59745500;197644056
2061000;39129300;226324408
2071000;37650000;187010896
2081000;43850400;211291424
2091000;112068800;267143680
2101000;41160800;250086848
2111000;108980400;231108880
2121000;109829000;232846232
2131000;105526400;233255192
2141000;107759000;235401624
2151000;40531200;242106648
2161000;111933700;236722264
2171000;117611500;234689896
2181000;116854900;239692408
2191000;115082900;269042232
2201000;41799700;274760456
2211000;115490200;240591464
2221000;115906500;241247744
2231000;43945900;299035376
2241000;43032600;276040888
2251000;45049900;254516864
2261000;39198200;312840448
2271000;107562600;242796224
2281000;43024900;251130304
2291000;37449600;259258184
2301000;113873000;258422784
2311000;39410700;257796464
2321000;44959400;254697152
2331000;107686600;243791856
2341000;39872700;270775152
2351000;45242600;258150360
2361000;41984700;321185760
2371000;39595000;287250816
2381000;44431000;259091240
2391000;115342900;247299928
2401000;39777000;283296992
2411000;41070800;272277680
2421000;44221800;260058584
2431000;39773000;318440600
2441000;112076600;256432456
2451000;42618800;259905880
2461000;117357800;273117280
2471000;40246300;270531776
2481000;118779700;254091128
2491000;39353300;266671904
2501000;129598000;254830840
2511000;37393800;266687352
2521000;40021800;267739976
2531000;123404500;257028072
2541000;121638200;264045520
2551000;41137200;270368240
2561000;39928100;274040128
2571000;118390000;259419480
2581000;124422900;259866496
2591000;123164100;259922688
2601000;122225700;269414416
2611000;40360700;274335824
2621000;130601300;261808400
2631000;127475300;260503088
2641000;133333500;261776040
2651000;132491200;272120872
2661000;41100400;281523224
2671000;40248900;283772816
2681000;125688800;267885440
2691000;121031500;267278896
2701000;40588500;324503560
2711000;128068800;276714776
2721000;127009100;268257584
2731000;40721200;322132008
2741000;129841400;274497072
2751000;124621100;270142608
2761000;42106600;340973392
2771000;131812600;276550728
2781000;128381200;271531512
2791000;40896000;343960432
2801000;123698400;278590656
2811000;134174600;272799184
2821000;40755400;312731112
2831000;133295100;280913000
2841000;127287200;275420480
2851000;143012400;277381704
2861000;39068500;333022792
2871000;130516100;285135040
2881000;45477700;283845680
2891000;38620900;337096400
2901000;39671000;324372664
2911000;134765400;289569408
2921000;48323500;286997952
2931000;38297500;342311232
2941000;44258000;300715744
2951000;39875200;357192904
2961000;39832300;329294536
2971000;44654300;294293160
2981000;40143400;355717264
2991000;38832000;336586520
3001000;41683800;333182336
3011000;131909100;291770264
3021000;125506800;284624144
3031000;39334700;319897872
3041000;42691800;309711472
3051000;41421900;312548152
3061000;135743300;285004480
3071000;42684800;302537968
3081000;140067100;308078632
3091000;40835500;309520856
3101000;42463400;307099472
3111000;132197000;288535568
3121000;41042200;323598520
3131000;144286500;294267248
3141000;44622700;304544840
3151000;39832500;370033416
3161000;143355800;303313560
3171000;144125600;293572560
3181000;41644200;330027400
3191000;42392900;323235000
3201000;43566100;320873032
3211000;144859600;299036704
3221000;44213200;312516032
3231000;142087500;337863968
3241000;40671300;324835536
3251000;145102900;307034256
3261000;44858000;314326632
3271000;141722800;320093768
3281000;39839800;328802392
3291000;40841400;326102840
3301000;44421900;315297600
3311000;145312100;305268384
3321000;38398500;377086080
3331000;141761000;315197608
3341000;143100700;307594720
3351000;43431900;351336272
3361000;148431900;310358872
3371000;49454900;319231160
3381000;150805700;331492016
3391000;148931100;316425160
