x;time;ram
1920000;1591606200;172492872
1930000;1547007900;171383248
1940000;1604546300;172157912
1950000;1648864300;169649640
1960000;1684392600;174344536
1970000;1740942100;163994184
1980000;1686269600;176649720
1990000;1696404700;177028176
2000000;1758382600;167003936
2010000;1707612000;173111000
2020000;1715378400;185735248
2030000;1599682300;178895944
2040000;1717382900;178993576
2050000;1803276000;200094800
2060000;1848165000;180374176
2070000;1890997300;181890528
2080000;1941986700;181378088
2090000;1937385200;181870760
2100000;1958507800;215037120
2110000;1924870800;212767056
2120000;1944190200;213183528
2130000;1950008400;214260504
2140000;2018752500;217446896
2150000;1921888100;212231616
2160000;2017217600;212613808
2170000;2022404000;210320192
2180000;2040361900;213515528
2190000;1948347300;218321640
2200000;1947495400;217271960
2210000;2061250500;216215968
2220000;1963591200;221374056
2230000;1973890600;218525192
2240000;2073395100;225539800
2250000;2063047400;226214280
2260000;2090834200;226227192
2270000;2106924700;226818688
2280000;2115783000;227389952
2290000;2096710700;229040848
2300000;2147483647;229089664
2310000;2147483647;230613136
2320000;2086561400;225770120
2330000;2070732600;228488160
2340000;2147483647;232969776
2350000;2147483647;232171648
2360000;2147483647;232569904
2370000;2147483647;232443904
2380000;2147483647;233047152
2390000;2147483647;234427328
2400000;2147483647;234355712
2410000;2147483647;234744480
2420000;2147483647;236023096
2430000;2147483647;235793760
2440000;2147483647;238188504
2450000;2147483647;237897152
2460000;2147483647;239227288
2470000;2147483647;238340088
2480000;2147483647;240898520
2490000;2147483647;239523800
2500000;2147483647;240986584
2510000;2147483647;241848232
2520000;2147483647;241317648
2530000;2147483647;242968912
2540000;2147483647;243487904
2550000;2147483647;244264880
2560000;2147483647;243115328
2570000;2147483647;246385064
2580000;2147483647;245552328
2590000;2147483647;248512304
2600000;2147483647;248782464
2610000;2147483647;247610864
2620000;2147483647;249095632
2630000;2147483647;250105168
2640000;2147483647;251076128
2650000;2147483647;250739456
2660000;2147483647;252275128
2670000;2147483647;252285704
2680000;2147483647;252631432
2690000;2147483647;254698160
2700000;2147483647;252864512
2710000;2147483647;254812832
2720000;2147483647;255760960
2730000;2147483647;256395680
2740000;2147483647;257143864
2750000;2147483647;258382608
2760000;2147483647;256958208
2770000;2147483647;258419248
2780000;2147483647;259513464
2790000;2147483647;259336840
2800000;2147483647;260210376
2810000;2147483647;261010864
2820000;2147483647;261333968
2830000;2147483647;261567632
2840000;2147483647;263088064
2850000;2147483647;264185984
2860000;2147483647;264302288
2870000;2147483647;262646352
2880000;2147483647;264250880
2890000;2147483647;262542104
2900000;2147483647;225875704
2910000;2147483647;260772112
2920000;2147483647;262505048
2930000;2147483647;264725360
2940000;2147483647;269074040
2950000;2147483647;265066000
2960000;2147483647;265401416
2970000;2147483647;263622864
2980000;2147483647;270293704
2990000;2147483647;269985864
3000000;2147483647;261680472
3010000;2147483647;267806704
3020000;2147483647;255487592
3030000;2147483647;267173512
3040000;2147483647;266892424
3050000;2147483647;269038256
3060000;2147483647;269236400
3070000;2147483647;270037264
3080000;2147483647;273646568
3090000;2147483647;275706880
3100000;2147483647;275871088
3110000;2147483647;272930608
3120000;2147483647;278898160
3130000;2147483647;279058704
3140000;2147483647;278907888
3150000;2147483647;277931464
3160000;2147483647;280449120
3170000;2147483647;277197064
3180000;2147483647;282035816
3190000;2147483647;280197600
3200000;2147483647;281299728
3210000;2147483647;278285544
3220000;2147483647;284466384
3230000;2147483647;281874152
3240000;2147483647;284051800
3250000;2147483647;288019152
3260000;2147483647;287059400
3270000;2147483647;287268568
3280000;2147483647;288766648
3290000;2147483647;289952816
3300000;2147483647;288203352
3310000;2147483647;285189104
3320000;2147483647;284313736
3330000;2147483647;280345080
3340000;2147483647;291162072
3350000;2147483647;287216872
3360000;2147483647;286906768
3370000;2147483647;294621728
3380000;2147483647;295931824
3390000;2147483647;297957760
3400000;2147483647;298171760
3410000;2147483647;296926616
3420000;2147483647;299595752
3430000;2147483647;299848200
3440000;2147483647;299903344
3450000;2147483647;299359264
3460000;2147483647;300383544
3470000;2147483647;301234528
3480000;2147483647;301522864
3490000;2147483647;304172528
3500000;2147483647;299664680
3510000;2147483647;306691160
3520000;2147483647;299763368
3530000;2147483647;304803288
3540000;2147483647;305843576
3550000;2147483647;301281600
3560000;2147483647;299045984
3570000;2147483647;300083192
3580000;2147483647;307436544
3590000;2147483647;304017608
3600000;2147483647;300217272
3610000;2147483647;313271736
3620000;2147483647;304645608
3630000;2147483647;307716504
3640000;2147483647;275686600
3650000;2147483647;313224712
3660000;2147483647;313359808
3670000;2147483647;309464016
3680000;2147483647;312145736
3690000;2147483647;315078000
3700000;2147483647;313840680
3710000;2147483647;316233288
3720000;2147483647;320281840
3730000;2147483647;311228840
3740000;2147483647;311032952
3750000;2147483647;277991600
3760000;2147483647;319091512
3770000;2147483647;324039840
3780000;2147483647;317496168
3790000;2147483647;316725560
3800000;2147483647;316347144
3810000;2147483647;317302504
3820000;2147483647;319277240
3830000;2147483647;323442312
3840000;2147483647;319747672
3850000;2147483647;323640376
3860000;2147483647;326725280
3870000;2147483647;323044312
3880000;2147483647;327043696
3890000;2147483647;323881888
3900000;2147483647;323522064
3910000;2147483647;323142776
3920000;2147483647;320023728
3930000;2147483647;327516656
3940000;2147483647;324443776
3950000;2147483647;297454272
3960000;2147483647;323101000
3970000;2147483647;320694840
3980000;2147483647;328303752
3990000;2147483647;331129344
4000000;2147483647;299554120
4010000;2147483647;326411088
4020000;2147483647;334512984
4030000;2147483647;324893632
4040000;2147483647;334843088
4050000;2147483647;332512056
4060000;2147483647;334292320
4070000;2147483647;337393096
4080000;2147483647;332499664
4090000;2147483647;333276104
4100000;2147483647;337139656
4110000;2147483647;336651720
4120000;2147483647;340103472
4130000;2147483647;341381360
4140000;2147483647;332762488
4150000;2147483647;309406152
4160000;2147483647;346794104
4170000;2147483647;336212064
4180000;2147483647;335560496
4190000;2147483647;346208728
4200000;2147483647;423572824
4210000;2147483647;362288072
4220000;2147483647;361003192
4230000;2147483647;416099400
4240000;2147483647;360325240
4250000;2147483647;359343456
4260000;2147483647;365334584
4270000;2147483647;426061040
4280000;2147483647;422184656
4290000;2147483647;367957440
4300000;2147483647;427575904
4310000;2147483647;428745912
4320000;2147483647;428792160
4330000;2147483647;441285504
4340000;2147483647;382475344
4350000;2147483647;440533632
4360000;2147483647;447076688
4370000;2147483647;388765936
4380000;2147483647;441464472
4390000;2147483647;454698016
4400000;2147483647;447693808
4410000;2147483647;450705592
4420000;2147483647;452849176
4430000;2147483647;448739888
4440000;2147483647;450422384
4450000;2147483647;448696472
4460000;2147483647;449206224
4470000;2147483647;450603640
